insee,name,density,x,y
02089,Billy-sur-Aisne,150,3.38,49.36
02090,Billy-sur-Ourcq,21,3.30,49.22
02091,Blanzy-lès-Fismes,19,3.67,49.34
02093,Blérancourt,114,3.15,49.51
02094,Blesmes,41,3.46,49.03
02095,Bohain-en-Vermandois,184,3.46,49.99
02096,Bois-lès-Pargny,18,3.65,49.74
02097,Boncourt,19,3.96,49.63
02098,Bonneil,185,3.35,49.01
02099,Bonnesvalyn,39,3.32,49.13
02100,Bony,17,3.22,49.99
02101,Bosmont-sur-Serre,21,3.87,49.74
02102,Bouconville-Vauclair,15,3.76,49.46
02103,Boué,122,3.71,50.01
02104,Bouffignereux,24,3.85,49.38
02105,Bouresches,27,3.32,49.07
02106,Bourg-et-Comin,160,3.66,49.40
02107,Bourguignon-sous-Coucy,34,3.15,49.54
02108,Bourguignon-sous-Montbavin,77,3.54,49.53
02109,La Bouteille,26,3.96,49.88
02110,Braine,192,3.54,49.35
02111,Brancourt-en-Laonnois,108,3.41,49.52
02112,Brancourt-le-Grand,47,3.39,49.98
02114,Brasles,187,3.42,49.06
02115,Braye-en-Laonnois,28,3.61,49.44
02116,Braye-en-Thiérache,15,3.96,49.77
02117,Bray-Saint-Christophe,26,3.14,49.77
02118,Braye,89,3.38,49.42
02119,Brécy,35,3.42,49.14
02120,Brenelle,45,3.54,49.37
02121,Breny,57,3.35,49.18
02122,Brie,21,3.47,49.60
02123,Brissay-Choigny,33,3.40,49.72
02124,Brissy-Hamégicourt,52,3.40,49.74
02125,Brumetz,31,3.15,49.11
02126,Brunehamel,59,4.19,49.77
02127,Bruyères-sur-Fère,22,3.45,49.20
02128,Bruyères-et-Montbérault,135,3.67,49.52
02129,Bruys,4,3.57,49.26
02130,Bucilly,15,4.09,49.87
02131,Bucy-le-Long,150,3.40,49.39
02132,Bucy-lès-Cerny,23,3.50,49.58
02133,Bucy-lès-Pierrepont,29,3.90,49.65
02134,Buire,213,4.06,49.91
02135,Buironfosse,68,3.84,49.96
02136,Burelles,10,3.91,49.77
02137,Bussiares,17,3.25,49.08
02138,Buzancy,39,3.35,49.31
02139,Caillouël-Crépigny,64,3.12,49.62
02140,Camelin,49,3.13,49.52
02141,La Capelle,149,3.91,49.97
02142,Castres,41,3.25,49.80
02143,Le Catelet,478,3.24,50.00
02144,Caulaincourt,23,3.11,49.86
02145,Caumont,101,3.17,49.64
02146,Celles-lès-Condé,20,3.57,49.01
02147,La Celle-sous-Montmirail,20,3.47,48.86
02148,Celles-sur-Aisne,42,3.48,49.42
02149,Cerizy,16,3.33,49.77
02150,Cerny-en-Laonnois,10,3.68,49.45
02151,Cerny-lès-Bucy,35,3.55,49.58
02152,Cerseuil,20,3.52,49.32
02153,Cessières,47,3.50,49.56
02154,Chacrise,26,3.40,49.30
02155,Chaillevois,84,3.52,49.51
02156,Chalandry,31,3.64,49.67
02157,Chambry,83,3.67,49.60
02158,Chamouille,81,3.67,49.47
02159,Champs,31,3.26,49.54
02160,Chaourse,28,3.99,49.70
02161,La Chapelle-Monthodon,13,3.65,49.02
02162,La Chapelle-sur-Chézy,37,3.38,48.95
02163,Charly-sur-Marne,130,3.29,48.99
02164,Le Charmel,33,3.54,49.11
02165,Charmes,449,3.38,49.65
02166,Chartèves,41,3.51,49.09
02167,Chassemy,76,3.50,49.38
02168,Château-Thierry,866,3.38,49.06
02169,Châtillon-lès-Sons,8,3.70,49.76
02170,Châtillon-sur-Oise,47,3.42,49.79
02171,Chaudardes,19,3.79,49.40
02172,Chaudun,30,3.25,49.32
02173,Chauny,891,3.22,49.62
02174,Chavignon,68,3.52,49.48
02175,Chavigny,27,3.31,49.42
02176,Chavonne,54,3.56,49.41
02177,Chérêt,35,3.69,49.51
02178,Chermizy-Ailles,10,3.72,49.46
02179,Chéry-Chartreuve,25,3.60,49.26
02180,Chéry-lès-Pouilly,40,3.59,49.65
02181,Chéry-lès-Rozoy,22,4.10,49.72
02182,Chevennes,23,3.74,49.82
02183,Chevregny,22,3.59,49.47
02184,Chevresis-Monceau,22,3.58,49.76
02185,Chézy-en-Orxois,23,3.17,49.13
02186,Chézy-sur-Marne,58,3.38,48.98
02187,Chierry,370,3.43,49.03
02188,Chigny,14,3.78,49.93
02189,Chivres-en-Laonnois,28,3.86,49.63
02190,Chivres-Val,106,3.44,49.40
02191,Chivy-lès-Étouvelles,142,3.59,49.53
02192,Chouy,19,3.25,49.22
02193,Cierges,9,3.60,49.16
02194,Cilly,24,3.84,49.75
02195,Ciry-Salsogne,99,3.47,49.37
02196,Clacy-et-Thierret,80,3.57,49.55
02197,Clairfontaine,39,3.99,49.97
02198,Clamecy,65,3.36,49.43
02199,Clastres,76,3.23,49.75
